Time (s),z_FL (m),z_FR (m),z_RL (m),z_RR (m)
1.56,-2.23E-05,-3.19E-05,3.08E-06,-1.01E-05
1.57,-1.70E-05,-2.97E-05,4.70E-06,-8.72E-06
1.58,-1.11E-05,-2.63E-05,6.42E-06,-6.69E-06
1.59,-5.06E-06,-2.20E-05,8.03E-06,-4.21E-06
1.6,1.10E-06,-1.76E-05,9.28E-06,-1.60E-06
1.61,7.12E-06,-1.34E-05,9.99E-06,7.65E-07
1.62,1.28E-05,-9.79E-06,1.01E-05,2.63E-06
1.63,1.80E-05,-7.16E-06,9.54E-06,3.91E-06
1.64,2.22E-05,-5.57E-06,8.58E-06,4.71E-06
1.65,2.51E-05,-4.90E-06,7.34E-06,5.25E-06
1.66,2.64E-05,-4.81E-06,5.94E-06,5.84E-06
1.67,2.57E-05,-4.75E-06,4.39E-06,6.77E-06
1.68,2.32E-05,-4.07E-06,2.65E-06,8.31E-06
1.69,1.93E-05,-2.23E-06,6.96E-07,1.06E-05
1.7,1.45E-05,1.04E-06,-1.40E-06,1.39E-05
1.71,9.45E-06,5.72E-06,-3.48E-06,1.79E-05
1.72,4.95E-06,1.16E-05,-5.37E-06,2.27E-05
1.73,1.58E-06,1.82E-05,-6.89E-06,2.77E-05
1.74,-1.74E-07,2.51E-05,-7.89E-06,3.23E-05
1.75,-7.81E-08,3.14E-05,-8.25E-06,3.61E-05
1.76,1.72E-06,3.65E-05,-7.87E-06,3.83E-05
1.77,4.70E-06,3.97E-05,-6.68E-06,3.86E-05
1.78,8.17E-06,4.09E-05,-4.56E-06,3.66E-05
1.79,1.15E-05,4.03E-05,-1.40E-06,3.25E-05
1.8,1.41E-05,3.85E-05,2.78E-06,2.67E-05
1.81,1.59E-05,3.62E-05,7.87E-06,2.00E-05
1.82,1.67E-05,3.41E-05,1.36E-05,1.33E-05
1.83,1.68E-05,3.27E-05,1.98E-05,7.21E-06
1.84,1.61E-05,3.22E-05,2.61E-05,2.39E-06
1.85,1.48E-05,3.25E-05,3.21E-05,-1.05E-06
1.86,1.29E-05,3.36E-05,3.75E-05,-3.37E-06
1.87,1.06E-05,3.49E-05,4.19E-05,-5.20E-06
1.88,7.96E-06,3.59E-05,4.52E-05,-7.28E-06
1.89,5.27E-06,3.60E-05,4.72E-05,-1.02E-05
1.9,2.69E-06,3.47E-05,4.77E-05,-1.44E-05
1.91,3.39E-07,3.17E-05,4.64E-05,-1.99E-05
1.92,-1.72E-06,2.71E-05,4.33E-05,-2.65E-05
1.93,-3.62E-06,2.11E-05,3.84E-05,-3.38E-05
1.94,-5.68E-06,1.37E-05,3.19E-05,-4.14E-05
1.95,-8.37E-06,5.39E-06,2.41E-05,-4.87E-05
1.96,-1.20E-05,-3.62E-06,1.52E-05,-5.49E-05
1.97,-1.66E-05,-1.29E-05,5.85E-06,-5.96E-05
1.98,-2.19E-05,-2.22E-05,-3.59E-06,-6.23E-05
1.99,-2.72E-05,-3.10E-05,-1.27E-05,-6.28E-05
2,-3.19E-05,-3.90E-05,-2.10E-05,-6.12E-05
2.01,-3.51E-05,-4.61E-05,-2.83E-05,-5.76E-05
2.02,-3.63E-05,-5.17E-05,-3.45E-05,-5.23E-05
2.03,-3.52E-05,-5.57E-05,-3.96E-05,-4.55E-05
2.04,-3.18E-05,-5.77E-05,-4.35E-05,-3.74E-05
2.05,-2.65E-05,-5.79E-05,-4.67E-05,-2.85E-05
2.06,-1.99E-05,-5.64E-05,-4.94E-05,-1.90E-05
2.07,-1.26E-05,-5.38E-05,-5.16E-05,-9.42E-06
2.08,-5.22E-06,-5.04E-05,-5.33E-05,-1.88E-07
2.09,2.00E-06,-4.70E-05,-5.39E-05,8.20E-06
2.1,8.73E-06,-4.40E-05,-5.31E-05,1.53E-05
2.11,1.47E-05,-4.17E-05,-5.07E-05,2.08E-05
2.12,1.95E-05,-4.03E-05,-4.69E-05,2.46E-05
2.13,2.28E-05,-3.97E-05,-4.23E-05,2.66E-05
2.14,2.43E-05,-3.95E-05,-3.75E-05,2.70E-05
2.15,2.39E-05,-3.90E-05,-3.33E-05,2.64E-05
2.16,2.14E-05,-3.77E-05,-3.02E-05,2.49E-05
2.17,1.72E-05,-3.54E-05,-2.81E-05,2.31E-05
2.18,1.12E-05,-3.21E-05,-2.67E-05,2.10E-05
2.19,4.05E-06,-2.82E-05,-2.56E-05,1.89E-05
2.2,-3.92E-06,-2.40E-05,-2.43E-05,1.70E-05
2.21,-1.21E-05,-1.96E-05,-2.24E-05,1.54E-05
2.22,-1.98E-05,-1.52E-05,-1.99E-05,1.41E-05
2.23,-2.65E-05,-1.08E-05,-1.67E-05,1.32E-05
2.24,-3.17E-05,-6.53E-06,-1.31E-05,1.26E-05
2.25,-3.51E-05,-2.61E-06,-9.35E-06,1.22E-05
2.26,-3.67E-05,1.05E-06,-5.44E-06,1.21E-05
2.27,-3.62E-05,4.73E-06,-1.32E-06,1.23E-05
2.28,-3.40E-05,8.71E-06,3.26E-06,1.29E-05
2.29,-3.02E-05,1.31E-05,8.64E-06,1.39E-05
2.3,-2.52E-05,1.80E-05,1.51E-05,1.52E-05
2.31,-1.95E-05,2.32E-05,2.26E-05,1.65E-05
2.32,-1.33E-05,2.83E-05,3.08E-05,1.76E-05
2.33,-7.08E-06,3.26E-05,3.87E-05,1.79E-05
2.34,-1.26E-06,3.57E-05,4.53E-05,1.72E-05
2.35,3.68E-06,3.69E-05,4.95E-05,1.53E-05
2.36,7.32E-06,3.60E-05,5.10E-05,1.22E-05
2.37,9.48E-06,3.30E-05,4.98E-05,8.35E-06
2.38,1.03E-05,2.83E-05,4.66E-05,4.16E-06
2.39,1.01E-05,2.27E-05,4.17E-05,3.51E-07
2.4,9.28E-06,1.68E-05,3.55E-05,-2.48E-06
2.41,8.22E-06,1.11E-05,2.83E-05,-4.05E-06
2.42,7.09E-06,5.98E-06,2.03E-05,-4.44E-06
2.43,5.99E-06,1.61E-06,1.21E-05,-4.04E-06
2.44,4.98E-06,-1.75E-06,4.13E-06,-3.34E-06
2.45,3.98E-06,-3.78E-06,-3.23E-06,-2.82E-06
2.46,2.81E-06,-4.05E-06,-9.74E-06,-2.77E-06
2.47,1.21E-06,-2.31E-06,-1.53E-05,-3.34E-06
2.48,-9.36E-07,1.29E-06,-1.99E-05,-4.51E-06
2.49,-3.63E-06,6.16E-06,-2.36E-05,-6.22E-06
2.5,-6.71E-06,1.14E-05,-2.62E-05,-8.36E-06
2.51,-9.88E-06,1.61E-05,-2.78E-05,-1.08E-05
2.52,-1.28E-05,1.94E-05,-2.85E-05,-1.33E-05
2.53,-1.49E-05,2.08E-05,-2.85E-05,-1.56E-05
2.54,-1.60E-05,2.04E-05,-2.78E-05,-1.69E-05
2.55,-1.57E-05,1.84E-05,-2.65E-05,-1.69E-05
2.56,-1.38E-05,1.55E-05,-2.45E-05,-1.52E-05
2.57,-1.02E-05,1.21E-05,-2.16E-05,-1.16E-05
2.58,-5.04E-06,8.40E-06,-1.75E-05,-6.38E-06
2.59,1.53E-06,4.70E-06,-1.20E-05,-7.46E-08
2.6,9.03E-06,9.53E-07,-5.26E-06,6.54E-06
2.61,1.69E-05,-2.99E-06,2.63E-06,1.27E-05
2.62,2.46E-05,-7.22E-06,1.12E-05,1.77E-05
2.63,3.17E-05,-1.16E-05,1.99E-05,2.12E-05
2.64,3.79E-05,-1.59E-05,2.83E-05,2.30E-05
2.65,4.30E-05,-1.93E-05,3.62E-05,2.33E-05
2.66,4.69E-05,-2.14E-05,4.35E-05,2.22E-05
2.67,4.95E-05,-2.18E-05,5.02E-05,2.03E-05
2.68,5.09E-05,-2.06E-05,5.58E-05,1.76E-05
2.69,5.11E-05,-1.82E-05,5.99E-05,1.42E-05
2.7,5.03E-05,-1.51E-05,6.17E-05,1.02E-05
2.71,4.86E-05,-1.17E-05,6.10E-05,5.78E-06
2.72,4.64E-05,-8.47E-06,5.78E-05,1.27E-06
2.73,4.37E-05,-5.32E-06,5.26E-05,-2.74E-06
2.74,4.05E-05,-2.23E-06,4.66E-05,-5.63E-06
2.75,3.68E-05,8.89E-07,4.08E-05,-6.93E-06
2.76,3.25E-05,3.94E-06,3.59E-05,-6.44E-06
2.77,2.77E-05,6.73E-06,3.21E-05,-4.32E-06
2.78,2.24E-05,8.99E-06,2.92E-05,-1.05E-06
2.79,1.69E-05,1.04E-05,2.62E-05,2.67E-06
2.8,1.13E-05,1.07E-05,2.25E-05,6.02E-06
2.81,5.78E-06,9.58E-06,1.74E-05,8.19E-06
2.82,6.20E-07,7.22E-06,1.07E-05,8.50E-06
2.83,-4.00E-06,3.86E-06,2.53E-06,6.61E-06
2.84,-8.02E-06,-4.23E-08,-6.58E-06,2.50E-06
2.85,-1.16E-05,-4.11E-06,-1.59E-05,-3.52E-06
2.86,-1.49E-05,-8.06E-06,-2.45E-05,-1.09E-05
2.87,-1.82E-05,-1.16E-05,-3.18E-05,-1.89E-05
2.88,-2.12E-05,-1.44E-05,-3.71E-05,-2.67E-05
2.89,-2.39E-05,-1.64E-05,-4.04E-05,-3.37E-05
2.9,-2.59E-05,-1.74E-05,-4.17E-05,-3.95E-05
2.91,-2.71E-05,-1.79E-05,-4.15E-05,-4.40E-05
2.92,-2.77E-05,-1.84E-05,-4.03E-05,-4.75E-05
2.93,-2.78E-05,-1.94E-05,-3.85E-05,-4.98E-05
2.94,-2.79E-05,-2.12E-05,-3.64E-05,-5.08E-05
2.95,-2.78E-05,-2.35E-05,-3.42E-05,-5.06E-05
2.96,-2.75E-05,-2.57E-05,-3.18E-05,-4.90E-05
2.97,-2.67E-05,-2.72E-05,-2.92E-05,-4.62E-05
2.98,-2.53E-05,-2.77E-05,-2.65E-05,-4.22E-05
2.99,-2.34E-05,-2.70E-05,-2.36E-05,-3.71E-05
3,-2.12E-05,-2.53E-05,-2.08E-05,-3.10E-05
3.01,-1.91E-05,-2.26E-05,-1.81E-05,-2.39E-05
3.02,-1.74E-05,-1.94E-05,-1.54E-05,-1.63E-05
3.03,-1.61E-05,-1.59E-05,-1.28E-05,-8.63E-06
3.04,-1.54E-05,-1.25E-05,-9.97E-06,-1.55E-06
3.05,-1.53E-05,-9.36E-06,-6.97E-06,4.33E-06
3.06,-1.57E-05,-6.73E-06,-3.93E-06,8.56E-06
3.07,-1.66E-05,-4.59E-06,-1.12E-06,1.10E-05
3.08,-1.81E-05,-2.67E-06,1.15E-06,1.18E-05
3.09,-2.01E-05,-5.54E-07,2.62E-06,1.15E-05
3.1,-2.24E-05,2.09E-06,3.20E-06,1.05E-05
3.11,-2.48E-05,5.38E-06,2.98E-06,9.58E-06
3.12,-2.67E-05,9.28E-06,2.30E-06,8.98E-06
3.13,-2.77E-05,1.37E-05,1.54E-06,8.98E-06
3.14,-2.72E-05,1.85E-05,9.59E-07,9.71E-06
3.15,-2.51E-05,2.38E-05,6.01E-07,1.12E-05
3.16,-2.16E-05,2.97E-05,3.99E-07,1.31E-05
3.17,-1.69E-05,3.60E-05,3.26E-07,1.51E-05
3.18,-1.16E-05,4.26E-05,4.52E-07,1.68E-05
3.19,-6.05E-06,4.89E-05,8.85E-07,1.80E-05
3.2,-3.69E-07,5.41E-05,1.68E-06,1.87E-05
3.21,5.38E-06,5.79E-05,2.81E-06,1.94E-05
3.22,1.12E-05,5.99E-05,4.18E-06,2.04E-05
3.23,1.70E-05,6.04E-05,5.64E-06,2.23E-05
3.24,2.27E-05,5.98E-05,6.92E-06,2.52E-05
3.25,2.78E-05,5.83E-05,7.60E-06,2.89E-05
3.26,3.22E-05,5.60E-05,7.20E-06,3.30E-05
3.27,3.59E-05,5.30E-05,5.42E-06,3.69E-05
3.28,3.89E-05,4.90E-05,2.33E-06,4.02E-05
3.29,4.16E-05,4.40E-05,-1.66E-06,4.24E-05
3.3,4.41E-05,3.80E-05,-5.89E-06,4.34E-05
3.31,4.67E-05,3.13E-05,-9.63E-06,4.34E-05
3.32,4.94E-05,2.43E-05,-1.22E-05,4.26E-05
3.33,5.24E-05,1.76E-05,-1.29E-05,4.14E-05
3.34,5.57E-05,1.18E-05,-1.14E-05,4.02E-05
3.35,5.93E-05,7.67E-06,-7.84E-06,3.89E-05
3.36,6.30E-05,5.43E-06,-2.62E-06,3.73E-05
3.37,6.64E-05,5.17E-06,3.33E-06,3.52E-05
3.38,6.88E-05,6.65E-06,8.89E-06,3.23E-05
3.39,7.01E-05,9.33E-06,1.30E-05,2.88E-05
3.4,6.98E-05,1.25E-05,1.50E-05,2.51E-05
3.41,6.80E-05,1.51E-05,1.49E-05,2.16E-05
3.42,6.45E-05,1.60E-05,1.31E-05,1.89E-05
3.43,5.94E-05,1.42E-05,1.05E-05,1.74E-05
3.44,5.26E-05,8.80E-06,7.64E-06,1.72E-05
3.45,4.41E-05,-2.01E-07,5.18E-06,1.81E-05
3.46,3.40E-05,-1.21E-05,3.25E-06,1.95E-05
3.47,2.27E-05,-2.55E-05,1.78E-06,2.04E-05
3.48,1.03E-05,-3.90E-05,5.44E-07,2.02E-05
3.49,-2.97E-06,-5.13E-05,-7.44E-07,1.83E-05
3.5,-1.68E-05,-6.15E-05,-2.29E-06,1.45E-05
3.51,-3.10E-05,-6.92E-05,-4.16E-06,9.01E-06
3.52,-4.51E-05,-7.44E-05,-6.21E-06,1.98E-06
3.53,-5.86E-05,-7.70E-05,-8.20E-06,-6.20E-06
3.54,-7.09E-05,-7.74E-05,-9.91E-06,-1.51E-05
3.55,-8.15E-05,-7.60E-05,-1.13E-05,-2.44E-05
3.56,-8.99E-05,-7.33E-05,-1.23E-05,-3.38E-05
3.57,-9.55E-05,-6.96E-05,-1.32E-05,-4.33E-05
3.58,-9.82E-05,-6.49E-05,-1.41E-05,-5.27E-05
3.59,-9.77E-05,-5.92E-05,-1.50E-05,-6.19E-05
3.6,-9.40E-05,-5.26E-05,-1.59E-05,-7.07E-05
3.61,-8.74E-05,-4.49E-05,-1.67E-05,-7.87E-05
3.62,-7.83E-05,-3.57E-05,-1.71E-05,-8.56E-05
3.63,-6.71E-05,-2.50E-05,-1.71E-05,-9.09E-05
3.64,-5.44E-05,-1.32E-05,-1.66E-05,-9.40E-05
3.65,-4.10E-05,-1.03E-06,-1.59E-05,-9.47E-05
3.66,-2.77E-05,1.05E-05,-1.48E-05,-9.24E-05
3.67,-1.51E-05,2.07E-05,-1.32E-05,-8.70E-05
3.68,-3.30E-06,2.92E-05,-1.09E-05,-7.83E-05
3.69,7.61E-06,3.57E-05,-7.76E-06,-6.68E-05
3.7,1.77E-05,4.03E-05,-3.73E-06,-5.33E-05
3.71,2.71E-05,4.31E-05,9.54E-07,-3.87E-05
3.72,3.57E-05,4.39E-05,5.92E-06,-2.41E-05
3.73,4.33E-05,4.30E-05,1.07E-05,-1.05E-05
3.74,4.95E-05,4.07E-05,1.50E-05,1.73E-06
3.75,5.40E-05,3.74E-05,1.85E-05,1.23E-05
3.76,5.65E-05,3.37E-05,2.16E-05,2.10E-05
3.77,5.68E-05,3.02E-05,2.43E-05,2.78E-05
3.78,5.48E-05,2.71E-05,2.71E-05,3.30E-05
3.79,5.09E-05,2.46E-05,3.02E-05,3.65E-05
3.8,4.56E-05,2.27E-05,3.38E-05,3.86E-05
3.81,3.95E-05,2.12E-05,3.76E-05,3.94E-05
3.82,3.30E-05,1.95E-05,4.13E-05,3.90E-05
3.83,2.64E-05,1.75E-05,4.41E-05,3.76E-05
3.84,2.02E-05,1.47E-05,4.54E-05,3.54E-05
3.85,1.48E-05,1.13E-05,4.44E-05,3.28E-05
3.86,1.04E-05,7.69E-06,4.08E-05,3.01E-05
3.87,7.20E-06,4.39E-06,3.46E-05,2.77E-05
3.88,4.98E-06,2.07E-06,2.60E-05,2.58E-05
3.89,3.32E-06,1.04E-06,1.55E-05,2.44E-05
3.9,1.75E-06,1.23E-06,3.98E-06,2.33E-05
3.91,-1.99E-07,2.23E-06,-7.68E-06,2.22E-05
3.92,-2.88E-06,3.42E-06,-1.86E-05,2.12E-05
3.93,-6.44E-06,4.21E-06,-2.82E-05,2.04E-05
3.94,-1.08E-05,4.16E-06,-3.64E-05,1.98E-05
3.95,-1.59E-05,3.08E-06,-4.32E-05,1.96E-05
3.96,-2.18E-05,8.91E-07,-4.87E-05,1.96E-05
3.97,-2.87E-05,-2.38E-06,-5.29E-05,1.95E-05
3.98,-3.64E-05,-6.60E-06,-5.54E-05,1.89E-05
3.99,-4.46E-05,-1.15E-05,-5.60E-05,1.74E-05
4,-5.25E-05,-1.67E-05,-5.46E-05,1.50E-05
4.01,-5.92E-05,-2.19E-05,-5.10E-05,1.19E-05
4.02,-6.39E-05,-2.66E-05,-4.53E-05,8.44E-06
4.03,-6.66E-05,-3.07E-05,-3.80E-05,5.19E-06
4.04,-6.73E-05,-3.44E-05,-2.94E-05,2.43E-06
4.05,-6.69E-05,-3.76E-05,-2.02E-05,3.51E-07
4.06,-6.59E-05,-4.04E-05,-1.06E-05,-9.44E-07
4.07,-6.46E-05,-4.28E-05,-9.18E-07,-1.51E-06
